	company.value	companyLabel.xml:lang	companyLabel.value	numEmployees.value	point.value
11801	http://www.wikidata.org/entity/Q12328119	en	Møns Bank	113	2022-01-01T00:00:00Z
11802	http://www.wikidata.org/entity/Q16162713	en	Partners Financial Services	120	2019-01-01T00:00:00Z
11803	http://www.wikidata.org/entity/Q16162713	en	Partners Financial Services	121	2018-01-01T00:00:00Z
11804	http://www.wikidata.org/entity/Q16630634	en	Vladkhleb	680	1997-01-01T00:00:00Z
11805	http://www.wikidata.org/entity/Q19903651	en	Sloboda Čačak	1708	2012-01-01T00:00:00Z
11806	http://www.wikidata.org/entity/Q19903651	en	Sloboda Čačak	1456	2013-01-01T00:00:00Z
11807	http://www.wikidata.org/entity/Q19903651	en	Sloboda Čačak	1768	2011-01-01T00:00:00Z
11808	http://www.wikidata.org/entity/Q19923099	en	Hewlett Packard Enterprise	195000	2016-01-01T00:00:00Z
11809	http://www.wikidata.org/entity/Q19923099	en	Hewlett Packard Enterprise	60000	2018-10-31T00:00:00Z
11810	http://www.wikidata.org/entity/Q41567326	en	MICo	304	2019-01-01T00:00:00Z
11811	http://www.wikidata.org/entity/Q41567344	en	Magna Exteriors (Bohemia)	1872	2017-01-01T00:00:00Z
11812	http://www.wikidata.org/entity/Q41567344	en	Magna Exteriors (Bohemia)	1773	2016-01-01T00:00:00Z
11813	http://www.wikidata.org/entity/Q54941641	en	TOMKET	79	2020-01-01T00:00:00Z
11814	http://www.wikidata.org/entity/Q54941641	en	TOMKET	85	2019-12-31T00:00:00Z
11815	http://www.wikidata.org/entity/Q54941641	en	TOMKET	99	2018-12-31T00:00:00Z
11816	http://www.wikidata.org/entity/Q54941641	en	TOMKET	76	2021-01-01T00:00:00Z
11817	http://www.wikidata.org/entity/Q16477323	en	Walmark	549	2019-01-01T00:00:00Z
11818	http://www.wikidata.org/entity/Q16477323	en	Walmark	528	2018-01-01T00:00:00Z
11819	http://www.wikidata.org/entity/Q20057722	en	LANEX	433	2018-01-01T00:00:00Z
11820	http://www.wikidata.org/entity/Q20057722	en	LANEX	406	2019-01-01T00:00:00Z
11821	http://www.wikidata.org/entity/Q54935708	en	Fenestra Wieden	73	2018-01-01T00:00:00Z
11822	http://www.wikidata.org/entity/Q54937992	en	Interplex Precision Engineering Czech Republic	443	2020-01-01T00:00:00Z
