	ceoname.value	company.value	companyLabel.xml:lang	companyLabel.value	ceonameLabel.xml:lang	ceonameLabel.value	starttime.value
2171	http://www.wikidata.org/entity/Q29613961	http://www.wikidata.org/entity/Q2529830	en	Vodafone Germany	en	Rogge	2022-07-01T00:00:00Z
2172	http://www.wikidata.org/entity/Q29471956	http://www.wikidata.org/entity/Q4892023	en	Berkeley Group Holdings	en	Rob Perrins	2009-09-09T00:00:00Z
2173	http://www.wikidata.org/entity/Q30030987	http://www.wikidata.org/entity/Q44294	en	Ford Motor Company	en	James Hackett	2017-05-01T00:00:00Z
2174	http://www.wikidata.org/entity/Q29384457	http://www.wikidata.org/entity/Q392082	en	ŠKODA VAGONKA	en	Tomáš Ignačák	2013-01-01T00:00:00Z
2175	http://www.wikidata.org/entity/Q29384457	http://www.wikidata.org/entity/Q392082	en	ŠKODA VAGONKA	en	Tomáš Ignačák	2013-01-01T00:00:00Z
2176	http://www.wikidata.org/entity/Q52008175	http://www.wikidata.org/entity/Q52008171	en	CISOfy	en	Michael Boelen	2013-10-17T00:00:00Z
2177	http://www.wikidata.org/entity/Q52008175	http://www.wikidata.org/entity/Q52008171	en	CISOfy	en	Michael Boelen	2013-10-17T00:00:00Z
2178	http://www.wikidata.org/entity/Q51489413	http://www.wikidata.org/entity/Q61854495	en	Catalunya Comunicació	en	Lluís Oliva i Vázquez de Novoa	2006-05-01T00:00:00Z
2179	http://www.wikidata.org/entity/Q95783018	http://www.wikidata.org/entity/Q495943	en	onet.pl	en	Robert Bednarski	2011-01-01T00:00:00Z
2180	http://www.wikidata.org/entity/Q95783018	http://www.wikidata.org/entity/Q495943	en	onet.pl	en	Robert Bednarski	2011-01-01T00:00:00Z
2181	http://www.wikidata.org/entity/Q64136600	http://www.wikidata.org/entity/Q1276463	en	EWE Tel	en	Ludwig Kohnen	2014-05-08T00:00:00Z
2182	http://www.wikidata.org/entity/Q64136415	http://www.wikidata.org/entity/Q1276463	en	EWE Tel	en	Sebastian Jurczyk	2014-05-08T00:00:00Z
2183	http://www.wikidata.org/entity/Q64136340	http://www.wikidata.org/entity/Q1276463	en	EWE Tel	en	Norbert Westfal	2011-02-11T00:00:00Z
2184	http://www.wikidata.org/entity/Q64135949	http://www.wikidata.org/entity/Q1276463	en	EWE Tel	en	Maximilian Oertle	2018-10-01T00:00:00Z
2185	http://www.wikidata.org/entity/Q95371045	http://www.wikidata.org/entity/Q12006431	en	Všeobecná zdravotní pojišťovna České republiky	en	Jiřina Musílková	1999-01-01T00:00:00Z
