	subsidiaryname.value	company.value	companyLabel.xml:lang	companyLabel.value	subsidiarynameLabel.xml:lang	subsidiarynameLabel.value	starttime.value
204	http://www.wikidata.org/entity/Q921716	http://www.wikidata.org/entity/Q2553238	en	Wind Telecom	en	Global Telecom Holding	2005-01-01T00:00:00Z
205	http://www.wikidata.org/entity/Q1017587	http://www.wikidata.org/entity/Q552581	en	SAP	en	Business Objects	2008-01-22T00:00:00Z
206	http://www.wikidata.org/entity/Q1017587	http://www.wikidata.org/entity/Q552581	en	SAP	en	Business Objects	2008-01-22T00:00:00Z
207	http://www.wikidata.org/entity/Q852174	http://www.wikidata.org/entity/Q208305	en	Commodore International	en	MOS Technology	1976-01-01T00:00:00Z
208	http://www.wikidata.org/entity/Q852174	http://www.wikidata.org/entity/Q208305	en	Commodore International	en	MOS Technology	1976-01-01T00:00:00Z
209	http://www.wikidata.org/entity/Q855639	http://www.wikidata.org/entity/Q221062	en	DuPont	en	Dow Chemical Company	2017-01-01T00:00:00Z
210	http://www.wikidata.org/entity/Q652047	http://www.wikidata.org/entity/Q483915	en	Nike	en	Umbro	2007-01-01T00:00:00Z
211	http://www.wikidata.org/entity/Q1026559	http://www.wikidata.org/entity/Q1494441	en	Richard Garrett & Sons	en	Caledon Motors	1926-01-01T00:00:00Z
212	http://www.wikidata.org/entity/Q847743	http://www.wikidata.org/entity/Q4037686	en	Dunkin' Brands	en	Dunkin' Donuts	1989-01-01T00:00:00Z
213	http://www.wikidata.org/entity/Q847743	http://www.wikidata.org/entity/Q4037686	en	Dunkin' Brands	en	Dunkin' Donuts	1989-01-01T00:00:00Z
214	http://www.wikidata.org/entity/Q650467	http://www.wikidata.org/entity/Q2553238	en	Wind Telecom	en	Wind Telecomunicazioni	2005-01-01T00:00:00Z
215	http://www.wikidata.org/entity/Q650467	http://www.wikidata.org/entity/Q2553238	en	Wind Telecom	en	Wind Telecomunicazioni	2005-01-01T00:00:00Z
216	http://www.wikidata.org/entity/Q650467	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	en	Wind Telecomunicazioni	2016-01-01T00:00:00Z
217	http://www.wikidata.org/entity/Q650467	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	en	Wind Telecomunicazioni	2016-01-01T00:00:00Z
218	http://www.wikidata.org/entity/Q1023765	http://www.wikidata.org/entity/Q5452733	en	First Citizens BancShares	en	CIT Group	2022-01-01T00:00:00Z
219	http://www.wikidata.org/entity/Q1060165	http://www.wikidata.org/entity/Q860580	en	Tencent	en	Riot Games	2011-01-01T00:00:00Z
220	http://www.wikidata.org/entity/Q863127	http://www.wikidata.org/entity/Q311394	en	Infineon Technologies	en	International Rectifier	2015-01-13T00:00:00Z
221	http://www.wikidata.org/entity/Q1053674	http://www.wikidata.org/entity/Q95	en	Google	en	DoubleClick	2008-03-11T00:00:00Z
222	http://www.wikidata.org/entity/Q1067845	http://www.wikidata.org/entity/Q691592	en	GlobalFoundries	en	Chartered Semiconductor Manufacturing	2010-01-23T00:00:00Z
