	acronymId.type	acronymId.value	starttime.datatype	starttime.type	starttime.value	company.type	company.value	companyLabel.xml:lang	companyLabel.type	companyLabel.value	acronym.xml:lang	acronym.type	acronym.value	endtime.datatype	endtime.type	endtime.value
87	uri	http://www.wikidata.org/entity/statement/Q298824-63744aa7-4ca1-4980-95d6-314c3ac67508				uri	http://www.wikidata.org/entity/Q298824	en	literal	Österreichisch-Bayerische Kraftwerke	de	literal	ÖBK			
88	uri	http://www.wikidata.org/entity/statement/Q298824-63744aa7-4ca1-4980-95d6-314c3ac67508				uri	http://www.wikidata.org/entity/Q298824	en	literal	Österreichisch-Bayerische Kraftwerke	de	literal	ÖBK			
89	uri	http://www.wikidata.org/entity/statement/Q315403-e977d670-4ab0-4df9-ca49-601c7db1ecac				uri	http://www.wikidata.org/entity/Q315403	en	literal	Donau-Iller-Nahverkehrsverbund	de	literal	DING			
90	uri	http://www.wikidata.org/entity/statement/Q319971-3abaced4-490f-14cf-37d3-d2fad160bab5				uri	http://www.wikidata.org/entity/Q319971	en	literal	Abfallwirtschaftsbetrieb München	de	literal	AWM			
91	uri	http://www.wikidata.org/entity/statement/Q341118-a0f36da4-43e2-7627-d96b-203b664e0128				uri	http://www.wikidata.org/entity/Q341118	en	literal	Czech News Agency	cs	literal	ČTK			
92	uri	http://www.wikidata.org/entity/statement/Q357095-3f685be2-4ec9-854e-4e89-2ff6914a27e9				uri	http://www.wikidata.org/entity/Q357095	en	literal	Hindustan Aeronautics Limited	en	literal	HAL			
93	uri	http://www.wikidata.org/entity/statement/Q357095-3f685be2-4ec9-854e-4e89-2ff6914a27e9				uri	http://www.wikidata.org/entity/Q357095	en	literal	Hindustan Aeronautics Limited	en	literal	HAL			
94	uri	http://www.wikidata.org/entity/statement/Q381202-2a14e521-4407-3446-7010-53e514b20317				uri	http://www.wikidata.org/entity/Q381202	en	literal	AERO Vodochody Aerospace	en	literal	Aero Vodochody			
95	uri	http://www.wikidata.org/entity/statement/Q381202-2a14e521-4407-3446-7010-53e514b20317				uri	http://www.wikidata.org/entity/Q381202	en	literal	AERO Vodochody Aerospace	en	literal	Aero Vodochody			
96	uri	http://www.wikidata.org/entity/statement/Q393762-1156cfb0-4016-d63a-e1c9-9539039455b6				uri	http://www.wikidata.org/entity/Q393762	en	literal	Agilent Technologies	en	literal	Agilent			
97	uri	http://www.wikidata.org/entity/statement/Q393762-1156cfb0-4016-d63a-e1c9-9539039455b6				uri	http://www.wikidata.org/entity/Q393762	en	literal	Agilent Technologies	en	literal	Agilent			
98	uri	http://www.wikidata.org/entity/statement/Q457987-ae15afa5-42c0-e31a-d5e8-aa73f2f15721				uri	http://www.wikidata.org/entity/Q457987	en	literal	Surrey Satellite Technology	en	literal	SSTL			
99	uri	http://www.wikidata.org/entity/statement/Q457987-ae15afa5-42c0-e31a-d5e8-aa73f2f15721				uri	http://www.wikidata.org/entity/Q457987	en	literal	Surrey Satellite Technology	en	literal	SSTL			
100	uri	http://www.wikidata.org/entity/statement/Q459965-5ae1e1d7-4aef-fcdc-8999-987b5182ab21				uri	http://www.wikidata.org/entity/Q459965	en	literal	Caterpillar Inc.	en	literal	CAT			
101	uri	http://www.wikidata.org/entity/statement/Q459965-5ae1e1d7-4aef-fcdc-8999-987b5182ab21				uri	http://www.wikidata.org/entity/Q459965	en	literal	Caterpillar Inc.	en	literal	CAT			
102	uri	http://www.wikidata.org/entity/statement/Q463261-91ea51bb-43e5-6239-ff46-8b696433150f				uri	http://www.wikidata.org/entity/Q463261	en	literal	Grumman	en	literal	Grumman			
103	uri	http://www.wikidata.org/entity/statement/Q485908-e5bc5c44-4a1a-145c-2256-f0d4997572ba				uri	http://www.wikidata.org/entity/Q485908	en	literal	KT Corporation	en	literal	KT			
104	uri	http://www.wikidata.org/entity/statement/Q485908-e5bc5c44-4a1a-145c-2256-f0d4997572ba				uri	http://www.wikidata.org/entity/Q485908	en	literal	KT Corporation	en	literal	KT			
105	uri	http://www.wikidata.org/entity/statement/Q501452-3F2BBA86-3690-4C8C-AFCF-F112DD39A26B				uri	http://www.wikidata.org/entity/Q501452	en	literal	Skövde Municipality	sv	literal	Skövde			
106	uri	http://www.wikidata.org/entity/statement/Q525359-53f6e5f2-4311-9ce4-1d39-0006e711d2a5				uri	http://www.wikidata.org/entity/Q525359	en	literal	Société Nationale des Chemins de Fer Luxembourgeois	fr	literal	CFL			
107	uri	http://www.wikidata.org/entity/statement/Q546751-9C7BC9DA-8A65-4427-84B2-78A8F78B8DB2				uri	http://www.wikidata.org/entity/Q546751	en	literal	CARNet	en	literal	CARNet			
108	uri	http://www.wikidata.org/entity/statement/Q617956-1874bec7-43b4-914b-35d1-918c3fd0d7dc				uri	http://www.wikidata.org/entity/Q617956	en	literal	Azerbaijan Railways	az	literal	ADY			
109	uri	http://www.wikidata.org/entity/statement/Q632233-47590733-4bac-0cf6-f176-b83670ab7346				uri	http://www.wikidata.org/entity/Q632233	en	literal	Heidelberg Materials	mul	literal	HC			
110	uri	http://www.wikidata.org/entity/statement/Q652491-2425477d-48d5-8c39-2307-895471239e0d				uri	http://www.wikidata.org/entity/Q652491	en	literal	Orenstein & Koppel	de	literal	O & K			
111	uri	http://www.wikidata.org/entity/statement/Q652491-2425477d-48d5-8c39-2307-895471239e0d				uri	http://www.wikidata.org/entity/Q652491	en	literal	Orenstein & Koppel	de	literal	O & K			
112	uri	http://www.wikidata.org/entity/statement/Q652491-a2b2f4b6-4dc6-06db-b74d-24de9f86dbaa				uri	http://www.wikidata.org/entity/Q652491	en	literal	Orenstein & Koppel	de	literal	O&K			
113	uri	http://www.wikidata.org/entity/statement/Q652491-a2b2f4b6-4dc6-06db-b74d-24de9f86dbaa				uri	http://www.wikidata.org/entity/Q652491	en	literal	Orenstein & Koppel	de	literal	O&K			
114	uri	http://www.wikidata.org/entity/statement/Q745664-f1389530-43cb-a683-e096-460d77db5c81				uri	http://www.wikidata.org/entity/Q745664	en	literal	Budapesti Közlekedési Zrt.	hu	literal	BKV Zrt.			
115	uri	http://www.wikidata.org/entity/statement/Q745664-f1389530-43cb-a683-e096-460d77db5c81				uri	http://www.wikidata.org/entity/Q745664	en	literal	Budapesti Közlekedési Zrt.	hu	literal	BKV Zrt.			
116	uri	http://www.wikidata.org/entity/statement/Q772150-75f6da33-4330-1e96-ad23-fa848017d5c7				uri	http://www.wikidata.org/entity/Q772150	en	literal	Häfen und Güterverkehr Köln	de	literal	HGK			
117	uri	http://www.wikidata.org/entity/statement/Q878574-a78ef604-4b6a-857f-ad8e-ae745ccd923a				uri	http://www.wikidata.org/entity/Q878574	en	literal	PreussenElektra	de	literal	PREAG			
118	uri	http://www.wikidata.org/entity/statement/Q878574-a78ef604-4b6a-857f-ad8e-ae745ccd923a				uri	http://www.wikidata.org/entity/Q878574	en	literal	PreussenElektra	de	literal	PREAG			
119	uri	http://www.wikidata.org/entity/statement/Q886564-775b1ebc-4ebc-9fcc-61a4-4b91a5022735				uri	http://www.wikidata.org/entity/Q886564	en	literal	Saizeriya	ja	literal	サイゼ			
120	uri	http://www.wikidata.org/entity/statement/Q891885-99c0f060-41aa-3f02-bbdd-5d8a0c391cc5				uri	http://www.wikidata.org/entity/Q891885	en	literal	Broadcast Music, Inc.	mul	literal	BMI			
121	uri	http://www.wikidata.org/entity/statement/Q1150494-0c21b1d1-4456-6872-c1ae-3b5cd0fcc436				uri	http://www.wikidata.org/entity/Q1150494	en	literal	New Japan Pro-Wrestling	en	literal	NJPW			
122	uri	http://www.wikidata.org/entity/statement/Q1150494-0c21b1d1-4456-6872-c1ae-3b5cd0fcc436				uri	http://www.wikidata.org/entity/Q1150494	en	literal	New Japan Pro-Wrestling	en	literal	NJPW			
123	uri	http://www.wikidata.org/entity/statement/Q1150494-24501c40-45be-1ddb-a39f-a0e72fd06b8d				uri	http://www.wikidata.org/entity/Q1150494	en	literal	New Japan Pro-Wrestling	ja	literal	新日本			
124	uri	http://www.wikidata.org/entity/statement/Q1150494-24501c40-45be-1ddb-a39f-a0e72fd06b8d				uri	http://www.wikidata.org/entity/Q1150494	en	literal	New Japan Pro-Wrestling	ja	literal	新日本			
125	uri	http://www.wikidata.org/entity/statement/Q1150494-f4c28edd-44c2-e566-dc89-e03cac55436a				uri	http://www.wikidata.org/entity/Q1150494	en	literal	New Japan Pro-Wrestling	ja	literal	新日			
126	uri	http://www.wikidata.org/entity/statement/Q1150494-f4c28edd-44c2-e566-dc89-e03cac55436a				uri	http://www.wikidata.org/entity/Q1150494	en	literal	New Japan Pro-Wrestling	ja	literal	新日			
127	uri	http://www.wikidata.org/entity/statement/Q1203737-867544b1-447f-2d8a-097b-54276c7ea87f				uri	http://www.wikidata.org/entity/Q1203737	en	literal	Deutsche Regionaleisenbahn	de	literal	DRE			
128	uri	http://www.wikidata.org/entity/statement/Q1326608-53369164-4eba-21b2-f435-25d162e85379				uri	http://www.wikidata.org/entity/Q1326608	en	literal	Elektrizitätswerk Minden-Ravensberg	de	literal	EMR			
129	uri	http://www.wikidata.org/entity/statement/Q1373525-bfeb5979-4e3e-46d0-bbae-d1e6bc69517a				uri	http://www.wikidata.org/entity/Q1373525		literal	Q1373525	de-at	literal	IFM			
130	uri	http://www.wikidata.org/entity/statement/Q1507823-378da954-4ae8-84b6-0365-88b6137b850f				uri	http://www.wikidata.org/entity/Q1507823	en	literal	Royal Enfield	en	literal	Enfield			
131	uri	http://www.wikidata.org/entity/statement/Q1525084-fcd71b51-4758-9d87-7d40-3ed03bde4d55				uri	http://www.wikidata.org/entity/Q1525084	en	literal	Tarifverbund Ortenau	de	literal	TGO			
132	uri	http://www.wikidata.org/entity/statement/Q1554299-7823ffda-461b-03ac-a951-fd05921174af				uri	http://www.wikidata.org/entity/Q1554299	en	literal	Gulfstream Aerospace	en	literal	Gulfstream			
133	uri	http://www.wikidata.org/entity/statement/Q1555145-5d7b3695-43a9-0014-40f1-c4fe8b8d5d67				uri	http://www.wikidata.org/entity/Q1555145	en	literal	Hamburger Stadtentwässerung	de	literal	HSE			
134	uri	http://www.wikidata.org/entity/statement/Q1560819-6c53f2c9-43e9-1d4a-e464-0d5418781f9a				uri	http://www.wikidata.org/entity/Q1560819	en	literal	International Launch Services	en	literal	ILS			
