	subsidiaryId.value	company.value	industry.value	starttime.value	industry2.value	companyLabel.xml:lang	companyLabel.value	subsidiaryIdLabel.xml:lang	subsidiaryIdLabel.value	industryLabel.xml:lang	industryLabel.value	industry2Label.xml:lang	industry2Label.value
333	http://www.wikidata.org/entity/Q471958	http://www.wikidata.org/entity/Q7186887	http://www.wikidata.org/entity/Q43183	2018-01-01T00:00:00Z	http://www.wikidata.org/entity/Q43183	en	Phoenix Group	en	Standard Life	en	insurance	en	insurance
334	http://www.wikidata.org/entity/Q471958	http://www.wikidata.org/entity/Q7186887	http://www.wikidata.org/entity/Q43183	2018-01-01T00:00:00Z	http://www.wikidata.org/entity/Q43183	en	Phoenix Group	en	Standard Life	en	insurance	en	insurance
335	http://www.wikidata.org/entity/Q471958	http://www.wikidata.org/entity/Q7186887	http://www.wikidata.org/entity/Q43183	2018-01-01T00:00:00Z	http://www.wikidata.org/entity/Q837171	en	Phoenix Group	en	Standard Life	en	insurance	en	financial services
336	http://www.wikidata.org/entity/Q471958	http://www.wikidata.org/entity/Q7186887	http://www.wikidata.org/entity/Q43183	2018-01-01T00:00:00Z	http://www.wikidata.org/entity/Q837171	en	Phoenix Group	en	Standard Life	en	insurance	en	financial services
337	http://www.wikidata.org/entity/Q219635	http://www.wikidata.org/entity/Q38928	http://www.wikidata.org/entity/Q806718	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q873442	en	PNC Financial Services	en	BlackRock	en	banking industry	en	asset management
338	http://www.wikidata.org/entity/Q219635	http://www.wikidata.org/entity/Q38928	http://www.wikidata.org/entity/Q806718	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q873442	en	PNC Financial Services	en	BlackRock	en	banking industry	en	asset management
339	http://www.wikidata.org/entity/Q219635	http://www.wikidata.org/entity/Q38928	http://www.wikidata.org/entity/Q837171	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q873442	en	PNC Financial Services	en	BlackRock	en	financial services	en	asset management
340	http://www.wikidata.org/entity/Q219635	http://www.wikidata.org/entity/Q38928	http://www.wikidata.org/entity/Q837171	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q873442	en	PNC Financial Services	en	BlackRock	en	financial services	en	asset management
341	http://www.wikidata.org/entity/Q219635	http://www.wikidata.org/entity/Q38928	http://www.wikidata.org/entity/Q57774188	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q873442	en	PNC Financial Services	en	BlackRock	en	financial sector	en	asset management
342	http://www.wikidata.org/entity/Q219635	http://www.wikidata.org/entity/Q38928	http://www.wikidata.org/entity/Q57774188	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q873442	en	PNC Financial Services	en	BlackRock	en	financial sector	en	asset management
343	http://www.wikidata.org/entity/Q319515	http://www.wikidata.org/entity/Q483915	http://www.wikidata.org/entity/Q8148	2003-01-01T00:00:00Z	http://www.wikidata.org/entity/Q22676	en	Nike	en	Converse	en	industrial sector	en	shoe
344	http://www.wikidata.org/entity/Q319515	http://www.wikidata.org/entity/Q483915	http://www.wikidata.org/entity/Q126793	2003-01-01T00:00:00Z	http://www.wikidata.org/entity/Q22676	en	Nike	en	Converse	en	retail	en	shoe
345	http://www.wikidata.org/entity/Q319515	http://www.wikidata.org/entity/Q483915	http://www.wikidata.org/entity/Q11828862	2003-01-01T00:00:00Z	http://www.wikidata.org/entity/Q22676	en	Nike	en	Converse	en	clothing industry	en	shoe
